Name,Price,Image URLs,Description,Categories,Brands,Colors,Sizes
"Health At Home COVID-19 Test Kit, 2 CT",$16.99,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/5042852130.jpg,Quick and easy at-home COVID-19 test kit for ages 2 and up.,Tests,CVS Health,,
"Gum Therapy Antigingivitis Antiplaque Mouthwash, Glacier Mint, 1 L",$10.99,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/312547352666.jpg,Effective and tasteful mouthwash for cleaning gums and fighting gingivitis & plaque,Oral Care,Listerine,,
Philips One Rechargeable Electric Toothbrush,$41.99,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/75020092489.jpg,Efficient cleaning rechargeable electric toothbrush,Oral Care,Philips Sonicare,,
"Tampax Pearl Tampons with LeakGuard Braid, Unscented, Ultra",$6.79,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/73010009868.jpg,Unscented leakguard ultra premium tampons from Tampax.,Feminine Care,Tampax,,
"Whole Body Deodorant Spray, Peach & Vanilla, 3.5 OZ",$14.99,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/3077212608.jpg,Women’s whole body peach and vanilla deodorant spray for extra coolness and fragrance. ,Deodorant & Antiperspirant,Secret,,
"Clear Gel Antiperspirant & Deodorant Cool Wave, 3.8 OZ",$7.99,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/4740009772.jpg,"Men’s “cool wave” antiperspirant deodorant, 3.8 ounce container",Deodorant & Antiperspirant,Gilette,,
Mucinex 12HR Cough & Chest Congestion Expectorant Relief Tablets,$19.99,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/36382400820.jpg,Over the counter relief tablets for cough and chest congestion. Lasts 12 hours.,Cough Medicine,Mucinex,,
Mypurmist 2 Handheld Ultrapure Steam Inhaler,$119.99,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/855278005345.jpg,Second model handheld ultrapure Steam inhaler for colds and stuffy noses.,Humidifiers,Mypurmist,,
Tylenol Extra Strength Acetaminophen Rapid Release Gels,$8.29,https://www.cvs.com/bizcontent/merchandising/productimages/high_res/300450488268.jpg,Extra strength Tylenol pills for pain and ache relief ,Pain Relief,Tylenol,,
