Name,Price,Image URLs,Description,Categories,Brands,Colors,Sizes
"Celery, 1 Bunch",$2.19,https://m.media-amazon.com/images/I/41JPbinMHYL.jpg,"Crisp, refreshing celery with a clean flavor, perfect for snacking or adding crunch to your favorite dishes.",Vegetables,,,
"Strawberries, 1 Lb",$3.99,https://m.media-amazon.com/images/I/41BILLhhM6L.jpg ,"While this berry's colorful cousins—the blueberry and red raspberry—are grown on bushes, this bright red fruit comes from vines close to the ground. It's picked when ready to eat, though a strawberry will become a little sweeter if left at room temperature for a day. ",Fruits,,,
"Asparagus, 1 Bunch",$3.99,https://m.media-amazon.com/images/I/71rpY2GtFHL._SL1500_.jpg ,"Fresh asparagus: slender, tender stalks bursting with flavor and crispness, harvested at peak perfection for culinary delight.",Vegetables,,,
"Blueberries, 1 Pint",$4.49,https://m.media-amazon.com/images/I/71xSGViUzGL._SX679_.jpg,"These sweet, tangy and intensely blue berries contain antioxidants such as anthocyanin, as well as anti-inflammatories. It has sweet-tart taste and their unique blue color",Fruits,,,
"Yellow Onion, 1 Lb",$0.99,https://m.media-amazon.com/images/I/71785Jrt80L._SX679_.jpg,Fresh and delicious,Vegetables,,,
