Name,Price,Image URLs,Description,Categories,Brands,Colors,Sizes
Summer Framed Suncatcher Painting Kit,$7.99,https://imgs.michaels.com/MAM/assets/1/5E3C12034D34434F8A9BAAFDDF0F8E1B/img/AAC0BC1F07234E2CA2BB0FCE3A28DB26/10740086_2.jpg?fit=inside|1280:1280,Decorate your very own suncatcher painting and place your art creation in a windowsill to see the bright colors! Ages 6 & up.,Painting,Creatology,,
Acrylic Paint Value Pack,$9.99,https://imgs.michaels.com/MAM/assets/1/5E3C12034D34434F8A9BAAFDDF0F8E1B/img/95EB5CEDF9B54BE59EBEE0FF43044AA5/10278752_32.jpg?fit=inside|1280:1280,"This versatile acrylic paint set includes a range of classic colors, perfect for general arts and crafts, stenciling, ceramics, school projects, home decorating and decorative painting. The colors in this set include: purple, bright blue, brown, golden brown, dark gray, black, white, bright red, orange, bright yellow, grass green, and turquoise.",Painting,Craft Smart,,
"Washable Sidewalk Chalk, 48ct. ",$6.99,https://imgs.michaels.com/MAM/assets/1/726D45CA1C364650A39CD1B336F03305/img/EFA56D5A36D54CFDA9CFF45ABDC011B8/10268683.JPG?fit=inside|1280:1280,"Whether you want to surprise your kids with a fun springtime activity or need to fill space during a rainy afternoon, this paint your own kit from Creatology has got you covered. Pair this with our other sets for fun the entire family can enjoy or for a night of DIY activities!",Chalk,Crayola,,
Charisma® Tweed Stripe Yarn,$4.99,"https://imgs.michaels.com/MAM/assets/1/726D45CA1C364650A39CD1B336F03305/img/0B62CBAF42AC42FE92D6C21E0E1625E1/519019.jpg?fit=inside|1280:1280 , https://imgs.michaels.com/MAM/assets/1/726D45CA1C364650A39CD1B336F03305/img/9074603742F340CC9CD47A36DDEF776A/519017.jpg?fit=inside|1280:1280 , https://imgs.michaels.com/MAM/assets/1/726D45CA1C364650A39CD1B336F03305/img/2871595B0912487487C05D9483727D82/519023.jpg?fit=inside|1280:1280 , https://imgs.michaels.com/MAM/assets/1/726D45CA1C364650A39CD1B336F03305/img/0B02CBF3F5DC4B76AAE66CF5377EFF33/519022.jpg?fit=inside|1280:1280","Indulge your creativity with this tweed-style skein. Make a knit coat or cardigan inspired by the classic tweed blazer or a comfy blanket, scarf or hat! The Tweed Stripe is a wonderfully soft, bulky weight yarn that works up into classically colored stripes with a touch of tweed.",Knitting,Loops & Threads,"Rose Garden, Charcoal, Woodgrain, Cappuccino",
36 Color Watercolor Pan Set ,$5.99,https://imgs.michaels.com/MAM/assets/1/5E3C12034D34434F8A9BAAFDDF0F8E1B/img/0442FFC015C5468BA43C107D83F051AE/10122060_25.jpg?fit=inside|1280:1280,The full spectrum of brilliant colors in this watercolor palette make it a great gift for a beginner painter interested in experimenting with watercolor paints. All of the watercolor pans in the set are water soluble. This set includes 36 colors and a natural hair brush to help you get started.,Painting,Artist's Loft,,
"10 Pack 8"" x 10"" Super Value Canvas",$12.99,https://imgs.michaels.com/MAM/assets/1/5E3C12034D34434F8A9BAAFDDF0F8E1B/img/906FB04C64ED43B7B202069E24AFE2EB/10131568_21.jpg?fit=inside|1280:1280,"Perfect for students or working artists, this canvas set provides great quality at a great value. Each cotton duck canvas is acrylic titanium triple primed with acid-free sizing. Ideal for acrylic or oil painting, each canvas is stretched and back stapled to a 5/8"" kiln dried wooden frame.",Painting,Artist's Loft,,
"Construction Paper, 96ct.",$4.99,https://imgs.michaels.com/MAM/assets/1/726D45CA1C364650A39CD1B336F03305/img/4B19A66805514FD8BAFD91B351E1BAE1/10432469_1.jpg?fit=inside|1280:1280,"Crayola 96 Count Construction Paper is a must-have for home and school projects. This pack includes 96 sheets of Construction Paper in standard 9"" x 12"" paper size. There are 8 different colors including: Pink, Red, Orange, Yellow, Green, Blue, Violet, and Black.",Paper,Crayola,,
